ForeignKeyName,ParentSchema,ParentTable,ParentColumn,ReferencedSchema,ReferencedTable,ReferencedColumn,OnDelete,OnUpdate
FK__icisti__cissueac__196E057B,dbo,icisti,cissueacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icitem__cccostac__3C0114F2,dbo,icitem,cccostacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icitem__ccdiscac__3CF5392B,dbo,icitem,ccdiscacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icitem__ccobliac__3DE95D64,dbo,icitem,ccobliacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icitemh__cccosta__3EDD819D,dbo,icitemh,cccostacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icitemh__ccdisca__3FD1A5D6,dbo,icitemh,ccdiscacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icitemh__ccoblia__40C5CA0F,dbo,icitemh,ccobliacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__iciwhs__cccostac__41B9EE48,dbo,iciwhs,cccostacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__iciwhs__ccdiscac__42AE1281,dbo,iciwhs,ccdiscacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__iciwhs__ccobliac__43A236BA,dbo,iciwhs,ccobliacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__iciwhs__cintracc__1B564DED,dbo,iciwhs,cintracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__iciwhs__cintrmac__2F9B3E0D,dbo,iciwhs,cintrmacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__iciwhs__cinvtacc__1C4A7226,dbo,iciwhs,cinvtacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icsyst__caccrfra__1D3E965F,dbo,icsyst,caccrfracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icsyst__ccvaracc__1E32BA98,dbo,icsyst,ccvaracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icsyst__cdiscrac__2DB2F59B,dbo,icsyst,cdiscracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icsyst__cfcostac__1F26DED1,dbo,icsyst,cfcostacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icsyst__cilstacc__201B030A,dbo,icsyst,cilstacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icsyst__cintracc__210F2743,dbo,icsyst,cintracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icsyst__cintrmac__2CBED162,dbo,icsyst,cintrmacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icsyst__ctvaracc__22034B7C,dbo,icsyst,ctvaracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icsyst__cuninvac__2BCAAD29,dbo,icsyst,cuninvacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__ictwhs__cccostac__44965AF3,dbo,ictwhs,cccostacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__ictwhs__ccdiscac__458A7F2C,dbo,ictwhs,ccdiscacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__ictwhs__ccobliac__467EA365,dbo,ictwhs,ccobliacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__ictwhs__cintracc__22F76FB5,dbo,ictwhs,cintracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__ictwhs__cintrmac__308F6246,dbo,ictwhs,cintrmacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__ictwhs__cinvtacc__23EB93EE,dbo,ictwhs,cinvtacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__ictype__cccostac__3924A847,dbo,ictype,cccostacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__ictype__ccdiscac__3A18CC80,dbo,ictype,ccdiscacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__ictype__ccobliac__3B0CF0B9,dbo,ictype,ccobliacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__ictype__cintracc__24DFB827,dbo,ictype,cintracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__ictype__cintrmac__2EA719D4,dbo,ictype,cintrmacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__ictype__cinvtacc__25D3DC60,dbo,ictype,cinvtacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icwhse__ciadjacc__2F3129B9,dbo,icwhse,ciadjacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__icwhse__cinvtacc__2E3D0580,dbo,icwhse,cinvtacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__milabr__cglacc__26C80099,dbo,milabr,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__mimach__cglacc__27BC24D2,dbo,mimach,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__misyst__cinvwipa__28B0490B,dbo,misyst,cinvwipacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__misyst__clabclra__29A46D44,dbo,misyst,clabclracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__misyst__clabwipa__2A98917D,dbo,misyst,clabwipacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__misyst__cmacclra__2B8CB5B6,dbo,misyst,cmacclracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__misyst__cmacwipa__2C80D9EF,dbo,misyst,cmacwipacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__misyst__cohallac__2D74FE28,dbo,misyst,cohallacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__misyst__cprovara__2E692261,dbo,misyst,cprovaracc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__poachg__cglacc__2F5D469A,dbo,poachg,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__poachgh__cglacc__30516AD3,dbo,poachgh,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__podist__cglacc__31458F0C,dbo,podist,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__podisth__cglacc__3239B345,dbo,podisth,cglacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__poptrb__crefacct__332DD77E,dbo,poptrb,crefacct,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__poptrbh__crefacc__3421FBB7,dbo,poptrbh,crefacct,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__poptrs__crefacct__35161FF0,dbo,poptrs,crefacct,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__poptrsh__crefacc__360A4429,dbo,poptrsh,crefacct,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prculv__cchgacc__60A889BC,dbo,prculv,cchgacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prculv__cliabacc__619CADF5,dbo,prculv,cliabacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prdedu__cdedacc__44586380,dbo,prdedu,cdedacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prdedu__cliabacc__454C87B9,dbo,prdedu,cliabacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prdedu__cmcacc__4640ABF2,dbo,prdedu,cmcacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prdist__ctaxacc__4734D02B,dbo,prdist,ctaxacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prdist__cwageacc__4828F464,dbo,prdist,cwageacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prdist__cwcexpac__491D189D,dbo,prdist,cwcexpacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prdisth__ctaxacc__4A113CD6,dbo,prdisth,ctaxacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prdisth__cwageac__4B05610F,dbo,prdisth,cwageacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prdisth__cwcexpa__4BF98548,dbo,prdisth,cwcexpacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prearg__ctaxacc__4CEDA981,dbo,prearg,ctaxacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prearg__cwageacc__4DE1CDBA,dbo,prearg,cwageacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prearg__cwcexpac__4ED5F1F3,dbo,prearg,cwcexpacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__preerg__ctaxacc__4FCA162C,dbo,preerg,ctaxacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__preerg__cwageacc__50BE3A65,dbo,preerg,cwageacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__preerg__cwcexpac__51B25E9E,dbo,preerg,cwcexpacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prleav__cchgacc__52A682D7,dbo,prleav,cchgacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prleav__cliabacc__539AA710,dbo,prleav,cliabacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prlsys__clwtacc__548ECB49,dbo,prlsys,clwtacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
FK__prmisg__ctaxacc__5582EF82,dbo,prmisg,ctaxacc,dbo,glacct,cacctid,NO_ACTION,NO_ACTION
