SchemaName,ProcedureName,create_date,modify_date
dbo,vsp_rpt_brrcrt,2017-04-14 09:46:30.280,2017-04-14 09:46:30.280
dbo,vsp_rpt_brstmt,2017-04-14 09:46:30.300,2017-04-14 09:46:30.300
dbo,vsp_rpt_brtogl,2017-04-14 09:46:30.317,2017-04-14 09:46:30.317
dbo,vsp_rpt_brtrsl,2017-04-14 09:46:30.337,2017-04-14 09:46:30.337
dbo,vsp_rpt_brttyp,2017-04-14 09:46:30.353,2017-04-14 09:46:30.353
dbo,vsp_rpt_brudep,2017-04-14 09:46:30.370,2017-04-14 09:46:30.370
dbo,vsp_rpt_brurec,2017-04-14 09:46:30.390,2017-04-14 09:46:30.390
dbo,vsp_rpt_brutrf,2017-04-14 09:46:30.410,2017-04-14 09:46:30.410
dbo,vsp_rpt_brutrs,2017-04-14 09:46:30.430,2017-04-14 09:46:30.430
dbo,vsp_rpt_brvdep,2017-04-14 09:46:30.450,2017-04-14 09:46:30.450
dbo,vsp_rpt_brvrec,2017-04-14 09:46:30.470,2017-04-14 09:46:30.470
dbo,vsp_rpt_brvtrf,2017-04-14 09:46:30.490,2017-04-14 09:46:30.490
dbo,vsp_rpt_cffield,2017-04-14 09:46:22.557,2017-04-14 09:46:22.557
dbo,vsp_rpt_cffloct,2017-04-14 09:46:22.573,2017-04-14 09:46:22.573
dbo,vsp_rpt_cflkcde,2017-04-14 09:46:22.603,2017-04-14 09:46:22.603
dbo,vsp_rpt_cflktpe,2017-04-14 09:46:22.590,2017-04-14 09:46:22.590
dbo,vsp_rpt_coacty,2017-04-14 09:46:30.510,2017-04-14 09:46:30.510
dbo,vsp_rpt_cobatc,2017-04-14 09:46:30.527,2017-04-14 09:46:30.527
dbo,vsp_rpt_comisc,2017-04-14 09:46:30.540,2017-04-14 09:46:30.540
dbo,vsp_rpt_commasep,2017-04-14 09:46:30.560,2017-04-14 09:46:30.560
dbo,vsp_rpt_costen,2017-04-14 09:46:30.580,2017-04-14 09:46:30.580
dbo,vsp_rpt_cotaxa,2017-04-14 09:46:30.600,2018-10-11 09:15:56.323
dbo,vsp_rpt_cotaxa_bu20Sep16,2016-09-05 07:52:37.563,2016-09-20 09:09:37.727
dbo,vsp_rpt_cotaxa_curr,2010-06-29 10:46:50.643,2016-09-05 08:04:20.040
dbo,vsp_rpt_cotaxa1,2010-04-15 14:55:34.450,2013-08-20 08:15:48.363
dbo,vsp_rpt_cotaxaBU,2010-05-18 10:07:00.357,2013-08-20 08:15:48.310
dbo,vsp_rpt_cotfer,2017-04-14 09:46:30.617,2017-04-14 09:46:30.617
dbo,vsp_rpt_glacct,2017-04-14 09:46:30.637,2017-04-14 09:46:30.637
dbo,vsp_rpt_glacpf,2017-04-14 09:46:30.653,2017-04-14 09:46:30.653
dbo,vsp_rpt_gladis,2017-04-14 09:46:30.670,2017-04-14 09:46:30.670
dbo,vsp_rpt_glagrp,2017-04-14 09:46:30.687,2017-04-14 09:46:30.687
dbo,vsp_rpt_glamap,2017-04-14 09:46:30.703,2017-04-14 09:46:30.703
