SchemaName,TableName,IndexName,IndexType,is_unique,is_primary_key,IndexColumns
dbo,apvendh,apvendh_xbuyer,NONCLUSTERED,0,0,"cbuyer, cvendno"
dbo,apvendh,apvendh_xclass,NONCLUSTERED,0,0,"cclass, cvendno"
dbo,apvendh,apvendh_xcompany,NONCLUSTERED,0,0,ccompany
dbo,apvendh,apvendh_xcompany2,NONCLUSTERED,0,0,ccompany2
dbo,apvendh,apvendh_xcreate,NONCLUSTERED,0,0,dcreate
dbo,apvendh,apvendh_xemail,NONCLUSTERED,0,0,cemail
dbo,apvendh,apvendh_xfname,NONCLUSTERED,0,0,"cfname, clname, cvendno"
dbo,apvendh,apvendh_xindustry,NONCLUSTERED,0,0,"cindustry, cvendno"
dbo,apvendh,apvendh_xlname,NONCLUSTERED,0,0,"clname, cfname, cvendno"
dbo,apvendh,apvendh_xphone1,NONCLUSTERED,0,0,cphone1
dbo,apvendh,apvendh_xstate,NONCLUSTERED,0,0,"cstate, czip, cvendno"
dbo,apvendh,apvendh_xstatus,NONCLUSTERED,0,0,cstatus
dbo,apvendh,apvendh_xzip,NONCLUSTERED,0,0,"czip, cvendno"
dbo,apvendh,PK__apvendh__45F96A5469E6AD86,CLUSTERED,1,1,cvendno
dbo,apvgla,apvgla_xvendno,NONCLUSTERED,0,0,cvendno
dbo,apvgla,PK__apvgla__2CDD98A64A38F803,CLUSTERED,1,1,cuid
dbo,apvglr,apvglr_xvendno,NONCLUSTERED,0,0,cvendno
dbo,apvglr,PK__apvglr__2CDD98A64FF1D159,CLUSTERED,1,1,cuid
dbo,apvinv,apvinv_xcreate,NONCLUSTERED,0,0,dcreate
dbo,apvinv,apvinv_xvoucherno,NONCLUSTERED,0,0,cvoucherno
dbo,apvinv,PK__apvinv__D3DF6FB9569ECEE8,CLUSTERED,1,1,"cvendno, cinvno"
dbo,apvnot,PK__apvnot__45F96A54064DE20A,CLUSTERED,1,1,cvendno
dbo,aramrt,aramrt_xinvitem,NONCLUSTERED,0,0,"cinvno, clineitem"
dbo,aramrt,PK__aramrt__2CDD98A644015E16,CLUSTERED,1,1,cuid
dbo,aramrth,aramrt_xinvitem,NONCLUSTERED,0,0,"cinvno, clineitem"
dbo,aramrth,PK__aramrth__2CDD98A6552BEA18,CLUSTERED,1,1,cuid
dbo,arcacb,arcacb_xappuid,NONCLUSTERED,0,0,cappuid
dbo,arcacb,PK__arcacb__2CDD98A60C06BB60,CLUSTERED,1,1,cuid
dbo,arcacbh,arcacbh_xappuid,NONCLUSTERED,0,0,cappuid
dbo,arcacbh,PK__arcacbh__2CDD98A61B48FEF0,CLUSTERED,1,1,cuid
dbo,arcact,_dta_index_arcact_8_681769486__K2_K9_K3_K1,NONCLUSTERED,0,0,"ccustno, ddate, ctype, cuid"
dbo,arcact,arcact_xcustno,NONCLUSTERED,0,0,ccustno
dbo,arcact,arcact_xdate,NONCLUSTERED,0,0,ddate
dbo,arcact,PK__arcact__2CDD98A62A8B4280,CLUSTERED,1,1,cuid
dbo,arcadr,arcadr_xcustcomp,NONCLUSTERED,0,0,"ccustno, ccompany"
dbo,arcadr,arcadr_xcustphone,NONCLUSTERED,0,0,"ccustno, cphone"
dbo,arcadr,arcadr_xcustzip,NONCLUSTERED,0,0,"ccustno, czip"
dbo,arcadr,IX_arcadr_it_modified_yn,NONCLUSTERED,0,0,"ccustno, caddrno, it_modified_yn"
dbo,arcadr,PK__arcadr__8289DC7235FCF52C,CLUSTERED,1,1,"ccustno, caddrno"
dbo,arcadr_it_log,pk_arcadr_it_log,CLUSTERED,1,1,"ccustno, caddrno"
dbo,arcadrh,PK__arcadrh__8289DC728C6B5B2F,CLUSTERED,1,1,"ccustno, caddrno"
dbo,arcapp,_dta_index_arcapp_8_1129771082__K17_K1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_18_19_20_21_22_23_24_25_26_27_28_29_30,NONCLUSTERED,0,0,"ccustno, cinvno, crcptno, ccinvno, cpcustno, cccustno, crfndno, caracc, cdiscacc, cadjacc, cdebtacc, cappuid, cinvcuid, crfnduid, ctogl, lvoid, ltemp, npaidamt, ndiscamt, nadjamt, ndebtamt, ncbkamt, nmcvaramt, nfpaidamt, nfdiscamt, nfadjamt, nfdebtamt, nfcbkamt, dpaid, cuid"
dbo,arcapp,arcapp_xappuid,NONCLUSTERED,0,0,cappuid
dbo,arcapp,arcapp_xcinvdate,NONCLUSTERED,0,0,"ccinvno, dpaid"
dbo,arcapp,arcapp_xcustinvdt,NONCLUSTERED,0,0,"ccustno, cinvno, dpaid"
dbo,arcapp,arcapp_xcustrcpt,NONCLUSTERED,0,0,"ccustno, crcptno, dpaid, nfpaidamt"
dbo,arcapp,arcapp_xpaid,NONCLUSTERED,0,0,"dpaid, ccustno"
dbo,arcapp,arcapp_xrcptdate,NONCLUSTERED,0,0,"crcptno, dpaid"
dbo,arcapp,arcapp_xrfnddate,NONCLUSTERED,0,0,"crfndno, dpaid"
dbo,arcapp,arcapp_xtrf1,NONCLUSTERED,0,0,"ctogl, dpaid, cinvno"
dbo,arcapp,IX_arcapp_cinvno,NONCLUSTERED,0,0,cinvno
dbo,arcapp,PK__arcapp__2CDD98A6453F38BC,CLUSTERED,1,1,cuid
dbo,arcapph,arcapph_xappuid,NONCLUSTERED,0,0,cappuid
dbo,arcapph,arcapph_xcinvdate,NONCLUSTERED,0,0,"ccinvno, dpaid"
dbo,arcapph,arcapph_xcustinvdt,NONCLUSTERED,0,0,"ccustno, cinvno, dpaid"
dbo,arcapph,arcapph_xcustrcpt,NONCLUSTERED,0,0,"ccustno, crcptno, dpaid, nfpaidamt"
dbo,arcapph,arcapph_xpaid,NONCLUSTERED,0,0,"dpaid, ccustno"
dbo,arcapph,arcapph_xrcptdate,NONCLUSTERED,0,0,"crcptno, dpaid"
dbo,arcapph,arcapph_xrfnddate,NONCLUSTERED,0,0,"crfndno, dpaid"
dbo,arcapph,arcapph_xtrf1,NONCLUSTERED,0,0,"ctogl, dpaid, cinvno"
dbo,arcapph,IX_arcapph_dpaid_nfadjamt,NONCLUSTERED,0,0,"ccustno, cinvno, cpcustno, dpaid, nfadjamt"
dbo,arcapph,IX_arcapph_dpaid_nfdebtamt,NONCLUSTERED,0,0,"ccustno, cinvno, cpcustno, dpaid, nfdebtamt"
dbo,arcapph,IX_arcapph_dpaid_nfdiscamt,NONCLUSTERED,0,0,"ccustno, cinvno, cpcustno, dpaid, nfdiscamt"
dbo,arcapph,PK__arcapph__2CDD98A662CF9BA3,CLUSTERED,1,1,cuid
dbo,arcard,arcard_xcustcard,NONCLUSTERED,0,0,"ccustno, cpaycode, ccardno"
dbo,arcard,PK__arcard__2CDD98A6005FFE8A,CLUSTERED,1,1,cuid
dbo,arcark,PK__arcark__2CDD98A609E968C4,CLUSTERED,1,1,cuid
dbo,arcash,_dta_index_arcash_8_246291937__K26_3_20,NONCLUSTERED,0,0,"crcptno, nfpaidamt, csono"
dbo,arcash,arcash_xbankno,NONCLUSTERED,0,0,"cbankno, dpaid, dcreate, npaytype"
dbo,arcash,arcash_xbankrcpt,NONCLUSTERED,0,0,"cbankno, crcptno"
dbo,arcash,arcash_xcreate,NONCLUSTERED,0,0,dcreate
dbo,arcash,arcash_xcustrcpt,NONCLUSTERED,0,0,"ccustno, crcptno"
dbo,arcash,arcash_xdeprcpt,NONCLUSTERED,0,0,"cdepno, crcptno"
dbo,arcash,arcash_xpaid,NONCLUSTERED,0,0,"dpaid, lvoid, ccustno, nfpaidamt, nfappamt"
dbo,arcash,arcash_xpaycode,NONCLUSTERED,0,0,cpaycode
dbo,arcash,arcash_xrcptno,NONCLUSTERED,0,0,crcptno
dbo,arcash,arcash_xtrf1,NONCLUSTERED,0,0,"ctogl, dpaid, ccustno"
dbo,arcash,arcash_xvoid,NONCLUSTERED,0,0,lvoid
dbo,arcash,IX_arcash_lvoid,NONCLUSTERED,0,0,"ccustno, crcptno, cdepno, cpaycode, cbankno, dpaid, npaytype, npaidamt, centerby, lvoid"
dbo,arcash,IX_arcash_lvoid_centerby_dpaid,NONCLUSTERED,0,0,"ccustno, cpaycode, cbankno, npaidamt, lvoid, centerby, dpaid"
dbo,arcash,PK__arcash__2CDD98A610966653,CLUSTERED,1,1,cuid
dbo,arcashh,arcashh_xbankno,NONCLUSTERED,0,0,"cbankno, dpaid, dcreate, npaytype"
dbo,arcashh,arcashh_xbankrcpt,NONCLUSTERED,0,0,"cbankno, crcptno"
dbo,arcashh,arcashh_xcreate,NONCLUSTERED,0,0,dcreate
dbo,arcashh,arcashh_xcustrcpt,NONCLUSTERED,0,0,"ccustno, crcptno"
dbo,arcashh,arcashh_xdeprcpt,NONCLUSTERED,0,0,"cdepno, crcptno"
dbo,arcashh,arcashh_xpaid,NONCLUSTERED,0,0,"dpaid, lvoid, ccustno, nfpaidamt, nfappamt"
dbo,arcashh,arcashh_xpaycode,NONCLUSTERED,0,0,cpaycode
dbo,arcashh,arcashh_xrcptno,NONCLUSTERED,0,0,crcptno
dbo,arcashh,arcashh_xtrf1,NONCLUSTERED,0,0,"ctogl, dpaid, ccustno"
dbo,arcashh,arcashh_xvoid,NONCLUSTERED,0,0,lvoid
dbo,arcashh,PK__arcashh__2CDD98A62C3E80C8,CLUSTERED,1,1,cuid
dbo,arccnt,PK__arccnt__2CDD98A647E69B3D,CLUSTERED,1,1,cuid
dbo,arcnot,PK__arcnot__05074A0E4E9398CC,CLUSTERED,1,1,ccustno
dbo,arcont,arcont_xcustno,NONCLUSTERED,0,0,ccustno
dbo,arcont,IX_arcont_it_modified_yn,NONCLUSTERED,0,0,"cuid, ccustno, it_modified_yn"
dbo,arcont,PK__arcont__2CDD98A6544C7222,CLUSTERED,1,1,cuid
dbo,arconth,PK__arconth__2CDD98A6A2AE363F,CLUSTERED,1,1,cuid
dbo,arcpos,IX_arcpos_cdepno_cpaycode_cbankno_dpaid_cusername,NONCLUSTERED,0,0,"cdepno, cpaycode, cbankno, dpaid, cusername"
dbo,arcpos,IX_arcpos_crcptno,NONCLUSTERED,0,0,"cpaycode, nPOSpdAmt, crcptno"
dbo,arcust,_dta_index_arcust_8_1574296668__K1_K13_K2_11,NONCLUSTERED,0,0,"cphone2, ccustno, cemail, ccompany"
dbo,arcust,_dta_index_arcust_8_1574296668__K1_K22_K2_K20_K24,NONCLUSTERED,0,0,"ccustno, cclass, ccompany, cslpnno, cterr"
dbo,arcust,arcust_xclass,NONCLUSTERED,0,0,"cclass, ccustno"
dbo,arcust,arcust_xcompany,NONCLUSTERED,0,0,ccompany
dbo,arcust,arcust_xcompany2,NONCLUSTERED,0,0,ccompany2
dbo,arcust,arcust_xcreate,NONCLUSTERED,0,0,dcreate
dbo,arcust,arcust_xemail,NONCLUSTERED,0,0,cemail
dbo,arcust,arcust_xfax,NONCLUSTERED,0,0,cfax
dbo,arcust,arcust_xindustry,NONCLUSTERED,0,0,"cindustry, ccustno"
dbo,arcust,arcust_xlcall,NONCLUSTERED,0,0,"tlcall, ccustno"
dbo,arcust,arcust_xpcustno,NONCLUSTERED,0,0,cpcustno
dbo,arcust,arcust_xphone1,NONCLUSTERED,0,0,cphone1
dbo,arcust,arcust_xphone2,NONCLUSTERED,0,0,cphone2
dbo,arcust,arcust_xrecall,NONCLUSTERED,0,0,"trecall, ccustno"
dbo,arcust,arcust_xslpnno,NONCLUSTERED,0,0,"cslpnno, ccustno"
dbo,arcust,arcust_xslpnrcal,NONCLUSTERED,0,0,"cslpnno, trecall, ccustno"
dbo,arcust,arcust_xstate,NONCLUSTERED,0,0,"cstate, czip, ccustno"
dbo,arcust,arcust_xstatus,NONCLUSTERED,0,0,cstatus
dbo,arcust,arcust_xterr,NONCLUSTERED,0,0,"cterr, ccustno"
dbo,arcust,arcust_xzip,NONCLUSTERED,0,0,"czip, ccustno"
dbo,arcust,PK__arcust__05074A0E5FBE24CE,CLUSTERED,1,1,ccustno
dbo,arcust_it_log,pk_arcust_it_log,CLUSTERED,1,1,ccustno
dbo,arcusth,PK__arcusth__05074A0E31C24FF4,CLUSTERED,1,1,ccustno
dbo,ardeps,PK__ardeps__895D703A7D9A9ABA,CLUSTERED,1,1,cdepcode
dbo,ardpst,ardpst_xcreate,NONCLUSTERED,0,0,dcreate
dbo,ardpst,ardpst_xdeposit,NONCLUSTERED,0,0,ddeposit
dbo,ardpst,PK__ardpst__09AFC00003C67B1A,CLUSTERED,1,1,"cbankno, cdepno"
dbo,aretrs,aretrs_xbankno,NONCLUSTERED,0,0,"cbankno, crcptno"
dbo,aretrs,aretrs_xebatcno,NONCLUSTERED,0,0,cebatcno
dbo,aretrs,PK__aretrs__040CC2366656761A,CLUSTERED,1,1,"cbankno, crcptno, cdepno"
dbo,arfchg,arfchg_xcustinvdt,NONCLUSTERED,0,0,"ccustno, cinvno, dfinance"
dbo,arfchg,arfchg_xfchguid,NONCLUSTERED,0,0,cfchguid
dbo,arfchg,arfchg_xinvcuid,NONCLUSTERED,0,0,cinvcuid
dbo,arfchg,arfchg_xtrf1,NONCLUSTERED,0,0,"ctogl, dfinance, ccustno, cinvno"
dbo,arfchg,PK__arfchg__2CDD98A6102C51FF,CLUSTERED,1,1,cuid
dbo,arfchgh,arfchgh_xcustinvdt,NONCLUSTERED,0,0,"ccustno, cinvno, dfinance"
dbo,arfchgh,arfchgh_xfchguid,NONCLUSTERED,0,0,cfchguid
dbo,arfchgh,arfchgh_xinvcuid,NONCLUSTERED,0,0,cinvcuid
dbo,arfchgh,arfchgh_xtrf1,NONCLUSTERED,0,0,"ctogl, dfinance, ccustno, cinvno"
dbo,arfchgh,PK__arfchgh__2CDD98A62156DE01,CLUSTERED,1,1,cuid
dbo,arfrgt,arfrgt_xdescript,NONCLUSTERED,0,0,cdescript
dbo,arfrgt,PK__arfrgt__47CB5C3F32816A03,CLUSTERED,1,1,cfrgtcode
dbo,arikit,arikit_xinvcline,NONCLUSTERED,0,0,"cinvno, clineitem"
dbo,arikit,PK__arikit__2CDD98A645943E77,CLUSTERED,1,1,cuid
dbo,arinvc,_dta_index_arinvc_8_1423344135__K1_K2_K5_K33_K9_K51_K52_K45_K80_K81_K82_K83_K84_K85_K90_K89_115,NONCLUSTERED,0,0,"nfbalance, cuid, cinvno, ccustno, cpono, cslpnno, dorder, dinvoice, ccurrcode, nsalesamt, ndiscamt, nfrtamt, ntaxamt1, ntaxamt2, ntaxamt3, nfinamt, nadjamt"
dbo,arinvc,_dta_index_arinvc_8_1423344135__K124_K59_K52_K5_K2,NONCLUSTERED,0,0,"lgenrebate, lvoid, dinvoice, ccustno, cinvno"
dbo,arinvc,_dta_index_arinvc_8_1423344135__K2_K4_52,NONCLUSTERED,0,0,"dinvoice, cinvno, ctype"
dbo,arinvc,_dta_index_arinvc_8_1423344135__K4_K52_2,NONCLUSTERED,0,0,"cinvno, ctype, dinvoice"
dbo,arinvc,_dta_index_arinvc_8_1423344135__K52_K4_K33_K1_K5_K2,NONCLUSTERED,0,0,"dinvoice, ctype, cpono, cuid, ccustno, cinvno"
dbo,arinvc,arinvc_xbalance,NONCLUSTERED,0,0,nbalance
dbo,arinvc,arinvc_xclosed,NONCLUSTERED,0,0,"dclosed, dinvoice"
dbo,arinvc,arinvc_xcreate,NONCLUSTERED,0,0,dcreate
dbo,arinvc,arinvc_xcustinv,NONCLUSTERED,0,0,"ccustno, cinvno"
