SchemaName,ViewName,create_date,modify_date
dbo,vm_mk_GLBal,2015-01-22 08:36:56.807,2015-01-22 08:47:11.000
dbo,vm_mk_GLBAL_Level,2015-10-30 13:30:54.450,2015-10-30 13:30:54.450
dbo,vm_mk_GLBudMaster,2016-03-07 11:26:41.293,2016-03-07 11:33:16.870
dbo,vm_mk_GlJournals,2014-09-30 12:19:46.163,2014-10-01 10:54:02.410
dbo,vm_mk_GlTrans,2015-07-10 08:51:13.783,2015-07-10 09:10:00.430
dbo,vm_mk_GWP_Forecast,2015-03-16 10:30:07.830,2015-03-31 11:09:34.337
dbo,vm_mk_GWP_Trans,2017-02-27 09:31:19.410,2017-02-27 13:06:27.770
dbo,vm_mk_GwpRule,2015-03-16 10:59:56.167,2015-03-16 11:04:48.400
dbo,vm_mk_GWPRuleOne,2015-03-16 10:58:46.870,2015-03-31 11:14:51.187
dbo,vm_mk_GWPRuleSetup,2015-06-04 10:40:59.753,2017-02-27 08:14:48.110
dbo,vm_mk_GWPSales,2015-09-08 13:27:41.210,2015-09-08 14:06:11.443
dbo,vm_mk_Handbag,2018-10-08 08:02:26.493,2018-10-08 08:02:26.493
dbo,vm_mk_handsales,2018-10-08 08:22:14.167,2018-10-08 08:23:48.240
dbo,vm_mk_HostesGift,2014-06-10 08:12:03.070,2014-06-10 13:34:09.477
dbo,vm_mk_InactiveCons,2015-04-14 12:47:31.440,2015-04-14 15:28:50.690
dbo,vm_mk_invoicelines,2014-02-25 13:16:38.723,2015-03-04 09:53:12.640
dbo,vm_mk_InvoiceUser,2014-01-15 08:06:03.653,2014-01-15 08:23:20.317
dbo,vm_mk_itemtospon1,2014-08-06 09:17:53.997,2014-08-06 10:13:44.930
dbo,vm_mk_itemtospon2,2014-08-06 09:23:37.030,2014-08-06 09:37:20.490
dbo,vm_mk_Jan_All_Sales,2016-12-07 10:04:20.560,2016-12-07 10:04:20.560
dbo,vm_mk_Jul2015SponPS,2016-07-05 07:28:48.437,2016-07-05 07:28:48.437
dbo,vm_mk_July2015,2016-06-09 15:03:47.083,2016-06-09 15:11:42.987
dbo,vm_mk_July2015PS,2016-06-09 15:10:04.563,2016-07-04 10:18:10.623
dbo,vm_mk_july2016,2016-07-04 09:56:16.120,2016-07-29 10:34:16.957
dbo,vm_mk_July2016PS,2016-07-04 10:21:42.673,2016-07-22 08:31:12.300
dbo,vm_mk_JulyResults,2016-08-04 13:29:32.530,2016-08-04 13:29:32.530
dbo,vm_mk_KitNoComp,2015-09-03 14:46:03.763,2015-09-03 14:46:56.170
dbo,vm_mk_KitTotPrice,2021-11-24 12:28:09.360,2021-11-24 12:28:09.360
dbo,vm_mk_L1_Detail1,2016-03-14 11:24:16.187,2016-03-15 08:31:06.153
dbo,vm_mk_L1_GLBalance,2016-03-07 09:48:38.977,2016-03-07 11:28:11.680
dbo,vm_mk_L1_GLBudgets,2016-03-07 11:35:25.140,2016-03-07 11:38:42.710
dbo,vm_mk_L1_GlGroups,2016-03-07 13:25:31.340,2016-04-11 07:19:11.403
dbo,vm_mk_L1_Groups_Delete Me,2016-03-07 14:30:48.317,2016-03-14 07:39:17.807
dbo,vm_mk_lastinv,2015-05-08 07:42:57.273,2015-05-08 08:34:25.027
dbo,vm_mk_Level1_Balances,2016-03-07 14:36:26.163,2016-03-10 10:36:08.327
dbo,vm_mk_Level1_Budgets,2016-03-07 14:37:27.210,2016-03-10 10:36:54.617
dbo,vm_Mk_Level1_Info,2016-03-14 11:49:24.930,2016-03-15 08:34:51.580
dbo,vm_Mk_Level1Info,2016-03-14 11:54:41.567,2016-03-14 11:54:41.567
dbo,vm_mk_LS,2014-05-13 11:37:09.657,2014-05-13 14:24:14.367
dbo,vm_mk_Manufacture,2016-06-09 10:28:47.060,2017-04-15 11:51:28.243
dbo,vm_mk_MelindaJuly,2016-07-22 09:03:48.507,2016-07-22 09:03:48.507
dbo,vm_mk_meltest,2015-02-06 08:57:10.413,2015-02-06 10:21:55.763
dbo,vm_mk_MLM_Historical,2016-10-14 12:12:54.383,2016-12-13 08:35:37.447
dbo,vm_mk_MLM_Sponsor,2015-02-09 08:44:49.553,2015-07-07 12:51:33.570
dbo,vm_mk_MLM80-20Group,2015-08-03 11:45:40.690,2015-08-03 11:45:40.690
dbo,vm_mk_mlmCust,2015-05-25 12:18:14.800,2016-08-31 09:06:37.707
dbo,vm_mk_MLMLevels,2014-05-13 12:16:16.340,2015-01-19 12:12:24.287
dbo,vm_mk_MLMLinks,2014-11-12 08:51:05.497,2014-11-12 08:51:05.497
dbo,vm_mk_MLMPerMonth,2015-07-13 10:50:25.267,2015-07-13 10:50:25.267
dbo,vm_mk_MLMSales,2015-07-02 10:45:39.760,2015-07-02 10:45:39.760
dbo,vm_mk_MLMSponDetail,2015-02-18 14:09:16.990,2015-02-23 14:06:43.567
dbo,vm_mk_MLMStatus,2014-11-11 15:37:06.747,2014-11-12 09:15:50.287
dbo,vm_mk_MLMTrans,2014-11-12 08:44:17.687,2014-11-12 08:44:17.687
dbo,vm_mk_MonthlySponsor,2017-02-06 08:26:23.903,2017-05-09 13:16:42.600
dbo,vm_Mk_MonthStructureSA,2017-01-06 08:04:45.827,2017-02-06 09:59:17.130
dbo,vm_mk_MoveAll,2014-12-10 11:06:36.847,2014-12-10 11:06:36.847
dbo,vm_mk_MoveBuying,2014-12-10 10:55:17.260,2014-12-10 12:24:40.107
dbo,vm_mk_MoveIssue,2014-12-10 11:04:34.353,2014-12-10 11:04:34.353
dbo,vm_mk_MoveSales,2014-12-10 09:42:02.143,2014-12-10 10:41:25.660
dbo,vm_mk_NewCampKits,2023-03-09 09:28:30.483,2023-03-09 09:28:30.483
dbo,vm_mk_NewCampMort2b,2022-12-09 10:44:03.907,2022-12-12 11:20:18.173
dbo,vm_mk_NewCampMort3b,2022-12-09 10:41:54.670,2022-12-09 14:24:04.517
dbo,vm_mk_newCampsales,2022-12-12 10:37:48.113,2022-12-12 13:21:30.330
dbo,vm_mk_NewRecruitPerSonsor,2018-01-30 08:42:33.630,2018-01-30 09:18:11.620
dbo,vm_mk_NewRecruits,2017-08-15 11:05:30.640,2025-08-04 09:14:29.800
dbo,vm_mk_NoProdMoved,2014-11-03 11:06:11.443,2014-11-03 11:56:19.057
dbo,vm_mk_ObsoleteStock,2014-03-03 15:52:54.183,2014-03-05 10:55:52.567
dbo,vm_mk_OnlineShopVouchers,2020-07-07 09:42:28.567,2020-07-07 09:42:28.567
dbo,vm_mk_OpenOrderItem,2019-10-28 08:39:21.853,2019-10-29 10:01:22.243
dbo,vm_mk_OpenOrderItemKit,2019-10-29 10:04:54.170,2019-10-29 10:04:54.170
dbo,vm_mk_OpenOrders,2017-10-11 10:30:38.077,2024-03-14 07:33:55.880
dbo,vm_mk_OpenOrdersLockdown,2020-04-08 12:10:29.780,2020-04-08 12:12:30.993
dbo,vm_mk_OrderValues,2022-04-19 09:39:05.447,2022-04-19 09:39:05.447
dbo,vm_mk_Outlook,2015-10-30 12:33:53.150,2015-10-30 13:10:35.783
dbo,vm_mk_payment_receipt,2014-02-12 08:08:05.000,2014-02-12 08:08:05.000
dbo,vm_Mk_PORecevd,2014-12-09 12:50:18.137,2014-12-09 12:50:18.137
dbo,vm_mk_PORecInv,2015-09-01 09:54:11.703,2019-06-14 14:34:27.837
dbo,vm_mk_RaceMaster,2017-03-15 10:25:38.143,2017-03-15 10:25:38.143
