SchemaName,TableName,RowCount
dbo,nam,43
dbo,new,140
dbo,NewBusiness,7
dbo,newdrp,5256
dbo,NOP_Discount,2
dbo,Nov,212
dbo,NPDpending,2
dbo,Oct,193
dbo,Oct10Fcst,69
dbo,order,369
dbo,Overseas Old Recruits,109692
dbo,Overseas Old Sales,601776
dbo,Overseas Previous Sales,97083
dbo,Overseas Rec Targets,13901
dbo,Overseas Target Percentage,13901
dbo,Overseas Targets,166812
dbo,paygatetrx,77715
dbo,Pepstores,3266
dbo,poacca,0
dbo,poaccah,0
dbo,poaccq,6664
dbo,poaccqh,11330
dbo,poachg,52
dbo,poachgh,40
dbo,poatrs,39
dbo,poatrsh,13
dbo,pochrg,34
dbo,pochrgh,9
dbo,pocnlg,979
dbo,poctrs,1283
dbo,poctsp,0
dbo,podist,11250
dbo,podisth,20412
dbo,podisth_bu,35914
dbo,popobk,0
dbo,poporb,0
dbo,poporbh,0
dbo,popord,3340
dbo,popordh,6999
dbo,popork,3421
dbo,poptrb,0
dbo,poptrbh,0
dbo,poptrs,5395
dbo,poptrsh,8642
dbo,porecg,4110
dbo,porecgh,8122
dbo,portaddfix,117
dbo,portrs,5851
dbo,portrsh,9627
dbo,portsp,0
dbo,posrmk,0
dbo,post,14216
dbo,POSTAL,1
dbo,PostalCodes,6621
dbo,potrbk,0
dbo,potrmk,2345
dbo,prchck,0
dbo,prculv,0
dbo,prcupd,0
dbo,prcupd1,108
dbo,prcupdate,1704
dbo,prcupdobs,296
dbo,prdchk,0
dbo,prdeda,0
dbo,prdedl,0
dbo,prdeds,0
dbo,prdedu,0
dbo,prdept,0
dbo,prdist,0
dbo,prdisth,0
dbo,prdmatc,0
dbo,prdmath,0
dbo,prearg,0
dbo,prearl,0
dbo,prearn,0
dbo,predep,0
dbo,preerg,0
dbo,preern,0
dbo,prehst,0
dbo,prelve,0
dbo,prempd,0
dbo,prempe,0
dbo,prempf,0
dbo,prempl,0
dbo,premps,0
dbo,prempy,0
dbo,premw2,0
dbo,premwl,0
dbo,premws,0
dbo,prenot,0
dbo,prepmt,0
dbo,pretrs,0
dbo,prhire,0
dbo,pricdf,0
dbo,price12,192
dbo,pricmc,0
dbo,pricnd,0
dbo,pricnv,0
dbo,pritcs,0
dbo,prleav,0
dbo,prlsys,0
dbo,prlvet,0
dbo,prmisc,0
dbo,prmisch,0
dbo,prmisg,0
dbo,prmisgh,0
dbo,prmtch,0
dbo,Products,904
dbo,prpaye,0
dbo,prpwkp,0
dbo,prpwkph,0
dbo,prpwrk,0
dbo,prssys,0
dbo,prstat,0
dbo,prsyst,0
dbo,prtceg,0
dbo,prtcegh,0
dbo,prtcer,0
dbo,prtcerh,0
dbo,prtcrd,0
dbo,prtcrdh,0
dbo,prtern,0
dbo,prternh,0
dbo,prtlog,0
dbo,prtlve,0
dbo,prtlveh,0
dbo,prtrsd,0
dbo,prtrsdh,0
dbo,prtrsl,0
dbo,prtrslh,0
dbo,prtrss,0
dbo,prtrssh,0
dbo,prtrst,0
dbo,prtrsth,0
dbo,prwccd,0
dbo,prwcgd,0
dbo,prwcgp,0
dbo,quaterlybonuses,7
dbo,"QuaterlyBonusesBasedon100ofTarget ",7
dbo,raccit,0
dbo,racktp,0
dbo,racktr,0
dbo,racktrh,0
dbo,raclpn,7
dbo,racnlg,98
dbo,racnot,0
dbo,racord,1152
dbo,racordh,0
dbo,racrmk,631
dbo,racshp,0
dbo,racshph,0
dbo,racsrk,0
dbo,ractrk,0
dbo,ractrs,2647
dbo,ractrsh,0
dbo,ractsp,0
dbo,rad_test,7
dbo,radist,6910
dbo,radisth,1245
dbo,raiadj,0
dbo,raitrf,0
dbo,raivrk,23
dbo,raiwrn,4625
dbo,rarecg,1098
dbo,rarecgh,0
dbo,rarktp,0
dbo,rarktph,0
dbo,rarktr,0
dbo,rarktrh,0
dbo,rartcd,24
dbo,rartcd_fu,0
dbo,rartnt,0
dbo,rartrs,2587
dbo,rartrsh,0
dbo,rartsp,0
dbo,rartsph,0
dbo,rashpg,1140
dbo,rashpgh,529
dbo,rasktp,0
dbo,rasktph,0
dbo,rasktr,0
dbo,rasktrh,0
dbo,rasrmk,0
dbo,rastrs,2629
dbo,rastrsh,539
dbo,rastsp,0
dbo,rastsph,0
dbo,rasyst,1
dbo,ravord,66
dbo,ravordh,266
dbo,ravrec,0
dbo,ravrech,0
dbo,ravrmk,60
dbo,ravrrk,0
dbo,ravtrk,310
dbo,ravtrs,46
dbo,ravtrsh,265
dbo,rbtmlm,39779
dbo,rbtmlm_bu7Jun16,23879
dbo,rbtmlmBU1Dec14,42935
dbo,rbtmlmbu21Feb14,36355
dbo,rbtmlmbu25Aug14,39085
dbo,rbtmlmbu25Aug14old,39053
dbo,rbtmlmJul14,42790
dbo,rbtmlmMONTHLY,2844015
dbo,rbtmlmMONTHLY_7Jan16,1349654
dbo,rbtmlmNov12,39606
dbo,rebatedtl,44279
dbo,rebatedtlBU1Dec14,50477
dbo,rebatedtlbu1Jul14,48935
dbo,rebatedtlbu21Feb14,42790
dbo,rebatedtlbu25Aug14,45963
dbo,rebatedtlbu25Aug14old,45926
dbo,rebatedtlJul14,50250
dbo,rebatedtlMONTHLY,3324956
dbo,rebatedtlNov12,46806
dbo,rebatedtlwma,16473
dbo,RebNov,46
dbo,refundtest,821
dbo,Reg,11081
dbo,regcan,770
dbo,regorders,3786
dbo,renew,4908
dbo,RevCode,71094
dbo,RevCodeUpdates,520
dbo,revupd1,5389
dbo,sales,3539
dbo,"Sales_Monthly ",7
dbo,sales1,159980
dbo,sales11,2238
dbo,salesdisc,2243
dbo,SalesImport,575
dbo,SAMLM,869
dbo,Sep10Fcst,57
dbo,Sept,190
dbo,shipbox,14
dbo,SI,54
dbo,SI2,168
dbo,sky_invoice,295
dbo,sky_recon,220
dbo,SkyTrack,138096
dbo,soacpt,0
dbo,soacpth,0
dbo,soacsp,0
dbo,soacsph,0
dbo,soactr,0
dbo,soactrh,0
dbo,soaktp,0
dbo,soaktph,0
dbo,soaktr,0
dbo,soaktrh,0
dbo,soaord,0
dbo,soarmk,0
dbo,soatrk,0
dbo,soatrs,0
dbo,sobkit,0
dbo,socamp,2791
dbo,socampbck,3374
dbo,sockit,7008
dbo,socmpf,264
dbo,socmpf_0607,12
dbo,socmpf_x,1
dbo,socmpq,945
dbo,soconitems,327244
dbo,soconsign,318949
dbo,socontrf,3782
dbo,soctrk,344
dbo,soctrs,24513
dbo,sodisc,0
dbo,soivbk,0
dbo,soivrk,107670
dbo,soktrs,0
dbo,somanifest,6657
dbo,soofhead,85
dbo,sooflist,1707
dbo,soofrule,80
dbo,sopcnt,4312
dbo,sopcntnotinNAM,30
dbo,SOPortal,646237
dbo,soportalcontrol,0
dbo,sorcrs,0
dbo,sordtx,11769
dbo,sorisp,0
dbo,sorisph,0
dbo,soritr,0
dbo,soritrh,0
dbo,sorivk,0
dbo,sorkit,0
dbo,sorrmk,0
dbo,sortci,0
dbo,sortrk,0
dbo,sortrs,0
dbo,sosbci,0
dbo,soscovr,6111
dbo,soship,55516
dbo,soshiph,1299228
dbo,soshiph_bu,429063
dbo,soskit,5903804
dbo,sosktp,0
dbo,sosktph,0
dbo,sosktr,104613
dbo,sosktrh,7546225
dbo,sosobk,0
dbo,sosorb,0
dbo,sosorbh,0
dbo,sosord,56063
dbo,sosordh,1624995
dbo,sosork,71814
dbo,sosppr,260147
dbo,sosppr_D,4
dbo,sospprbck,3347
dbo,sosprk,116090
dbo,sospsp,73017
dbo,sospsph,4536160
dbo,sosptk,5610
dbo,sosptr,292107
dbo,sosptrh,11885664
dbo,sostci,0
dbo,sostrb,0
dbo,sostrbh,0
dbo,sostrs,294686
dbo,sostrsh,11885117
dbo,sotrbk,0
dbo,sotrmk,9281
dbo,soxfix,13688
dbo,soxitems,19574
dbo,soxitemsH,43266
dbo,soxitemsJ,119
